"path","bytes","sha256"
"rtl/buffering/coarse_lag1024_beat_ring.sv","10343","b472db0001918a49488c14511d938adae1a2fe8ba1140c343a9d4d42e6aeb835"
"rtl/buffering/coarse_result_pair_fifo.sv","2842","f679891897dab6b5130b8ceae063a9eb088629251dbaee135c6acca5ff4bc0b7"
"rtl/buffering/fine_corrected_local_buffer.sv","8492","cc9ed5336b381e37d3d96cdf736ee204893c87a78991da929e9e496029afa7ce"
"rtl/buffering/fine_energy_prefix_buffer.sv","9811","d6fd2ebd9298cb4adc54cf755b40116b9195a25ec2c75e4ef56a393aeafcb816"
"rtl/buffering/fine_local_capture_buffer.sv","5955","3004161b3e3aaed6a57d0ca431df30953abf94a58cdd88642eb996a65d5735dc"
"rtl/carrier/cfo_coarse_estimator.sv","9144","f2db928e6f670eabf525d3be2ac3a22e66e182d486970699e8962f14fa5e54a3"
"rtl/carrier/cfo_phase_increment.sv","3500","dc39d9ef1cdd9d8033ff22af01c890ba0c8531229acaff4ee5518dda0ae9fcfc"
"rtl/carrier/cfo_preamble_rotator.sv","9868","da34420ea55fdd60b568f45359c4ce980ac7d0af17fdbe227de9de118ffb2770"
"rtl/common/bistatic_stream_pkg.sv","2233","7c2551aa0d2827fd04515a9e782b6c015a4d26ac050303823f0c69cda49dda83"
"rtl/frontend/sync_coarse_pair_join.sv","4677","d6871d0139bb4e044dd49562926c8b3ce8f9d7a847f4a49e710a0dc9a8c35f76"
"rtl/timing/coarse_corr_energy_4lane.sv","8357","8ee340c535a58e01b4d61bb510a91319e0f578c054ee9dce6c3eba9ffe500c8f"
"rtl/timing/coarse_metric_threshold.sv","6892","4595ec22de9ba1a11b37eb872d41d85f90b6d29a9fafb6523dac3f09fe24ab26"
"rtl/timing/coarse_plateau_selector.sv","5960","7a0f4ad291d4b4a85373474b8912e852d0be4b9a2d3a561cf54dd1e277a56727"
"rtl/timing/coarse_rolling_sc_accumulator.sv","7151","c583fb84fae2f295f5381dee6ebd415043c2963680332cbf948c45328f40726d"
"rtl/timing/coarse_safe_phase_replay.sv","5653","c4b6d2bada6ec0d73dc9d82f4a87c8d532a744c7cc69c3d3dd0a14cb954f3b51"
"rtl/timing/fine_corr_accumulator.sv","8439","36aacca624c16767357f1ec991df416e075c2611ce2ddc831c35f7ac9c906313"
